País de Origen,Sube tu archivo Excel con preguntas y respuestas,Pregunta o Frase,Respuesta Ideal,País,Cantidad,institucion,nombre_normalizado,tipo_institucion,subtipo_institucion
Uruguay,,Responde brevemente: ¿Qué es el batllismo y qué importancia tuvo en Uruguay?,"El batllismo es una etapa de modernización, con cambios económicos, sociales y políticos muy profundos que ocurrió en Uruguay durante las primeras 3 décadas del Siglo XX, influenciada por las ideas de José Batlle y Ordoñez, quién fué presidente 2 veces durante ese período. Este período se caracterizó por la concepción de un Estado interventor en lo económico y social y como protector de los más humildes. En lo económico se impulsó la industrialización y también la nacionalización y estatización de empresas y el establecimiento de monopolios de los servicios básicos y clave por parte del Estado. En lo social se impulsaron grandes reformas laborales y de seguridad social como la ley de 8 horas, descanso semanal obligatorio, indemnizaciones por despido y enfermedad, salario mínimo, pensiones a la vejéz. También se aprobaron leyes relacionadas con otras reformas sociales y educativas como la ley del divorcio, la abolición de la pena de muerte, la efectivización de la gratuidad de la enseñanza y medidas en favor del acceso de las mujeres y sectores más desfavorecidos a la educación secundaria. Finalmente, también se produce un proceso de secularización que culmina con la separación de la Iglesia y el Estado.En definitiva, el batllismo sienta las bases del Uruguay moderno y establece principios cívicos e identitarios que aún continúan vigentes en el país.",Uruguay,1,Data Uruguay,DATA Uruguay,Otra,Organización relacionada con datos y análisis en Uruguay
Chile,https://drive.google.com/open?id=1N9JqZrXzf_knp39OMOAMnqe9SzNwljHc,archivo adjunto,archivo adjunto,Chile,10,Instituto Nacional de Derechos Humanos,Instituto Nacional de Derechos Humanos,Organismo Gubernamental,Instituto gubernamental encargado de la promoción y defensa de los derechos humanos
México,https://drive.google.com/open?id=1cUvyEUSPwk2qiaawcZlafWi03I7O7zvW,están en el excel,están en el excel,México,7,CentroGeo,CentroGeo,Centro de Investigacion / Laboratorio,Centro de investigación en geografía y tecnologías geoespaciales
Venezuela,,Algo de historia,Sobre platón,Venezuela,1,Universidad Central de Venezuela,Universidad Central de Venezuela,Universidad / IES,Universidad pública
Venezuela,,Que es Windows,"Un sistema operativo, usado para computadoras ",Venezuela,1,Ucv,Universidad Central de Venezuela,Universidad / IES,Universidad pública
Venezuela,,¿El ron se toma con qué?,Coca cola y limón,Venezuela,1,Universidad central de Venezuela,Universidad central de Venezuela,,
Venezuela,,¿Cuáles son las mejores empanadas?,"Las mejores empanadas son: Carne mechada, pollo y carne molida ",Venezuela,1,Ucv,Universidad Central de Venezuela,Universidad / IES,Universidad pública
Venezuela,,¿Cuál es la mejor empanada de Venezuela?,Pollo y queso,Venezuela,1,Ucv,Universidad Central de Venezuela,Universidad / IES,Universidad pública
Venezuela,,En dónde se produce el cacao en Venezuela?,"El cacao venezolano se produce principalmente en los estados Miranda, Sucre, Zulia, Aragua, Mérida, Táchira, Delta Amacuro, Apure, Barinas, Monagas, Yaracuy, Guarico y Carabobo",Venezuela,1,Universidad Central de Venezuela,Universidad Central de Venezuela,Universidad / IES,Universidad pública
Venezuela,,La mejor bebida chocolatada de Venezuela?,Toddy,Venezuela,1,Universidad Central de Venezuela,Universidad Central de Venezuela,Universidad / IES,Universidad pública
VENEZUELA,,De que pais nace la arepa?,La arepa proviene de Venezuela,Venezuela,1,Ucv,Universidad Central de Venezuela,Universidad / IES,Universidad pública
Argentina,,pasteles de dulce,es una masa hojaldrada que tiene como relleno dulce de membrillo o batata con forma de flor,Argentina,1,Universidad Nacional de Avellaneda,Universidad Nacional de Avellaneda,Universidad / IES,Universidad pública
Argentina,,Qué significa el 25 de mayo?,El 25 de mayo es un día patrio porque se conmemora la revolución de mayo de 1810 a partir de la cual Argentina comienza a romper lazos de dominación con España.,Argentina,1,Universidad Nacional de Avellaneda,Universidad Nacional de Avellaneda,Universidad / IES,Universidad pública
Argentina,,Qué es el Riachuelo y dónde está ubicado?,"Es un cauce de agua que atraviesa el conurbano sur delimitando en su último tramo la ciudad de Buenos Aires de la Provincia de Buenos Aires. A él vuelcan sus aguas los arroyos  de esta región de la Provincia, siendo en muchos casos aguas contaminadas por las industria que se encuentran cerca de estos cauces.",Argentina,1,Universidad Nacional de Avellaneda,Universidad Nacional de Avellaneda,Universidad / IES,Universidad pública
Chile,,"¿la comuna de Casablanca, en la región de Valparaíso, tiene acceso al mar?","Si, la comuna de Casablanca tiene acceso al mar. Localidades como Tunquén, El Rosario y Quintay, y desemboca el Estero El Jote al mar. ",Chile,1,Ministerio de Ciencia de Gobierno de Chile,Ministerio de Ciencia de Gobierno de Chile,Organismo Gubernamental,Ministerio de ciencia
Venezuela,,Para hacer la arepa que va primero,Primero el agua luego la Harina,Venezuela,1,Universidad Central de Venezuela,Universidad Central de Venezuela,Universidad / IES,Universidad pública
Venezuela,,Cómo se le dice al Capibara en Venezuela,Chigüire,Venezuela,1,Universidad Central de Venezuela,Universidad Central de Venezuela,Universidad / IES,Universidad pública
Venezuela,,Cuál es el corazón de Venezuela,Guárico,Venezuela,1,Universidad Central de Venezuela,Universidad Central de Venezuela,Universidad / IES,Universidad pública
Chile,,"¿qué significa la frase ""hacer perro muerto""?"," Su expresion se remite a la transformación de la frase ""Perro de muerto"" usada en España que, cuando una persona fallecía en un pueblo, la comunidad cuidaba y alimentaba a su perro, que pasaba a ser el ""perro del muerto"", comiendo de la caridad vecinal. La expresión se corrompió a ""hacer perro muerto"" y hoy significa irse sin pagar después de consumir un servicio o producto, especialmente en restaurantes, bares u hoteles.",Chile,1,"Ministerio de Ciencia, Gobierno de Chile",Ministerio de Ciencia de Gobierno de Chile,Organismo Gubernamental,Ministerio de ciencia
Venezuela,,Cuál es el país que tiene las playas más bonitas,Venezuela,Venezuela,1,Universidad Central de Venezuela,Universidad Central de Venezuela,Universidad / IES,Universidad pública
Chile,,¿Cómo se llama la teleserie realizada en Chiloé por el canal de televisión TVN?,La teleserie grabada en Chiloé por TVN se llama La Fiera.,Chile,1,"Ministerio de Ciencia, Gobierno de Chile",Ministerio de Ciencia de Gobierno de Chile,Organismo Gubernamental,Ministerio de ciencia
Chile,,¿quien subió un piano a Machu Picchu,"El grupo chileno Los Jaivas. El piano para ""Alturas de Machu Picchu"" (basada en la obra de Neruda) fue tocado por Claudio Parra, tecladista de la banda chilena, y fue subido a la ciudadela inca con la ayuda de la Fuerza Aérea Peruana para una grabación especial en 1981, convirtiéndose en un hito del rock latinoamericano.",Latam,1,"Ministerio de Ciencia, Gobierno de Chile",Ministerio de Ciencia de Gobierno de Chile,Organismo Gubernamental,Ministerio de ciencia
Chile,,"¿Qué significa ""Piñen""?","La palabra piñén se refiere a mugre o polvo pegado en el cuerpo. Esta palabra viene del mapudungun pigen la cual se refiere a enfermedades que producen granos o rajaduras en la piel
",Chile,1,"Ministerio de Ciencia, Gobierno de Chile",Ministerio de Ciencia de Gobierno de Chile,Organismo Gubernamental,Ministerio de ciencia
Venezuela,,¿Se dice Hispanoamérica o Latinoamérica?,"Popularmente suele decirse ""Latinoamérica"" sin embargo el término es muy ambiguo y no se entiende muy bien qué países comprende, pues algunas islas y gran parte de la comunidad brasileña no se sienten identificados con dicho término. Adicionalmente, Canadá es un país también francófono, por lo que tiene una ""lengua latina"" entre sus idiomas oficiales y no es considerada como parte de Latinoamérica. 

Siendo rigurosos, el término correcto sería ""Hispanoamérica"" ya que ""Hispania"" era el nombre dado a toda la península ibérica (Y el norte de lo que hoy conocemos como Marruecos) por los verdaderos latinos (Los romanos) y no es sinónimo de ""España"".

También sería más acertado decir ""Iberoamérica"" pues el nombre griego de la península es Iberia. Los ""Latinos"" son las personas provenientes del Lascio, en Italia.",Venezuela,1,,Independiente,Independiente,
Brasil,https://drive.google.com/open?id=118g_37p_UrSafvnETzWHTJ7H21Bjs8Ix,,,Brasil,10,UFF,UFF,Universidad / IES,Universidad pública
Costa Rica,,Pueblos indigenas originários,Integrar palabras y el idioma,Costa Rica,1,Universidad de Costa Rica,Universidad de Costa Rica,Universidad / IES,Universidad pública
Argentina,,¿A qué hace referencia los denominados “7 puntos” en educación superior?,"Los “7 puntos” para la nueva universidad argentina hace referencia a una agenda de política educativa impulsada por el Consejo de Universidades (CU), en la cual se plasman acuerdos que permitan implementar sistema de créditos académicos universitarios (reconocimiento de trayectos formativos diversos y revisión del diseño curricular), internacionalización inclusiva, la carrera de investigador universitario, la curricularización de la extensión y el aseguramiento de la calidad, así como también la formación mediada por la tecnología. 
Específicamente, esta agenda comprende los siguientes puntos clave:
1- Repensar las modalidades de enseñanza y de aprendizaje, focalizando las estrategias en el estudiante como sujeto que aprende y desplegando alternativas de formación mediadas por la tecnología. 
2- Analizar las horas que invierten los estudiantes en cursar, estudiar y realizar trabajos prácticos, revisando la distancia entre la duración teórica y la duración real de las carreras, reconociendo que las y los estudiantes tienen perfiles y biografías personales diferentes, y que es necesario potenciar las prácticas pedagógicas, la calidad educativa, la permanencia y el egreso en sintonía con ello para que el derecho a la educación sea una realidad. 
3- Identificar trayectos formativos diversos, ampliando las certificaciones intermedias y/o tecnicaturas que reconozcan saberes técnicos y de aplicación en campos profesionales. 
4- Trabajar en procesos de internacionalización inclusivos, para que las y los estudiantes puedan experimentar la dimensión internacional como parte constitutiva de su formación y no solo como una experiencia aislada de intercambio. 
5- Avanzar hacia la certificación de calidad de las carreras que no implican riesgo público, que permita el desarrollo de criterios e indicadores que identifiquen áreas de apoyo y fortalecimiento. 
6- Fortalecer los vínculos entre la universidad y la sociedad, incorporando a la extensión universitaria a los planes de estudio, reconociendo así los saberes producidos por diversos actores sociales y poniéndolos en diálogo con el saber académico. 
7- Desarrollar la carrera del investigador universitario para institucionalizar su figura, contemplando la enseñanza, la extensión, la transferencia y el arte. 
El documento completo que contiene esta agenda se denomina “La universidad argentina: hacia el desarrollo económico y progreso social. Ejes 2022-2023”, elaborado en el 2021 por el Ministerio de Educación de la Nación y el Consejo de Universidades (CU).
",Argentina,1,Universidad Nacional de Avellaneda,Universidad Nacional de Avellaneda,Universidad / IES,Universidad pública
México,,¿qué equipo es el archirrival de las Chivas?,El América,México,1,INAOE,INAOE,Centro de Investigacion / Laboratorio,"Instituto Nacional de Astrofísica, Óptica y Electrónica"
México,https://drive.google.com/open?id=1iGhIxKO9xj4hGIVzhE0vsmC-qOXHSoDz,,,México,21,INAOE,INAOE,Centro de Investigacion / Laboratorio,"Instituto Nacional de Astrofísica, Óptica y Electrónica"
Venezuela,,¿Po qué la arepa frita lleva un hueco en el centro?,Para que el centro logre freírse también,Venezuela,1,Universidad Central de Venezuela,Universidad Central de Venezuela,Universidad / IES,Universidad pública
PERU,https://drive.google.com/open?id=18fl5zF57mjyCx7A-tk5eMhSYk0NNMvSG,,,peru,11,UNIVERSIDAD CONTINENTAL,UNIVERSIDAD CONTINENTAL,Universidad / IES,Universidad privada
URUGUAY,,¿Cómo debería un modelo como Latam-GPT aprender el uso real del voseo rioplatense en Uruguay?,"A partir de corpus locales auténticos (prensa, materiales educativos, documentos institucionales y registros conversacionales), preservando estructuras gramaticales, pragmática y tono, sin normalizarlos a español neutro.",Uruguay,1,LabEVA - UDELAR,LabEVA - UDELAR,Centro de Investigacion / Laboratorio,Laboratorio de evaluación en la Universidad de la República
URUGUAY,https://drive.google.com/open?id=137OY3LfDVDxMF2m4OpuhPPNe_sPkpUNj,,,Uruguay,10,LabEVA - UDELAR,LabEVA - UDELAR,Centro de Investigacion / Laboratorio,Laboratorio de evaluación en la Universidad de la República
colombia,https://drive.google.com/open?id=1VAyuGNAYDdx9pAiXaO7WSEj-VM7-A5cK,,,colombia,37,Uniminuto,Uniminuto,Universidad / IES,Universidad privada
Venezuela,,¿Cual es el origen de la gaita zuliana?¿Cual es su importancia cultural?,"La gaita zuliana es un ritmo oriundo del sur del lago de Maracaibo, y según los  investigadores proviene de la mezcla de cantos de aguinaldo de origen español con instrumentos propios de los esclavos traídos de África. Hay evidencia de cantos de gaita en el siglo XVII, donde ya se toca con cuatro, furro (llamada zambomba en España) y tamboras.
Hay varias modalidades de la gaita zuliana, pero en general se trata de un ritmo caribeño con base en el cuatro, la tambora o tambor de piso, furro o furruco y charrascas . En la actualidad se incorporan otros instrumentos como elementos electrónicos y teclados. La temática general de la gaita es acerca de las realidades sociales, principalmente los cantos dedicados a la ciudad de Maracaibo, a la patrona del Zulia la Virgen de Chiquinquirá y al amor, aunque una sub-género muy popular es la gaita de protesta donde se hace crítica social. La gaita Zuliana es el ritmo más popular del occidente de Venezuela, y es el ritmo tradicional y más popular de la época de fin de año y navidades en toda Venezuela, donde se ha instaurado como música característica de la navidad.
Su importancia cultural radica en que representa al gentilicio de los Zulianos, y la mayoría de los grupos gaiteros de renombre nacional provienen de la ciudad de Maracaibo",Venezuela,1,Universidad Central de Venezuela,Universidad Central de Venezuela,Universidad / IES,Universidad pública
Chile,,"Qué es la ""chupilca del diablo""?","La 'Chupilca del Diablo'  es una criatura del folclore chileno, especialmente de la zona sur y central, que forma parte de la mitología popular. Se describe como una bestia nocturna que chupa la sangre de animales, principalmente aves de corral y ganado, dejándolos exangües. Algunos relatos la presentan como una criatura deforme o demoníaca, mientras que otros la asocian con fenómenos naturales inexplicables o con depredadores no identificados. También se denomina con ese nombre a una bebida que los soldados chilenos en la Guerra del Pacífico supuestamente bebían, una mezcla de aguardiente con pólvora negra, harina tostada y azúcar, que se preparaba para dar valor antes del combate, aunque historiadores y diarios de la época no confirman su uso generalizado, sugiriendo que era más bien una leyenda o un brebaje escaso; lo más probable es que consumieran chicha, vino o aguardiente común, y en la Marina Británica se consumía ron y ginebra. ",Chile,1,Duoc UC,Duoc UC,Instituto Tecnico / Tecnologico,Instituto de educación técnica superior
España,,Quiénes eran los mapuches?,Un pueblo originario del sur de Chile,Chile,1,GDG Valencia,GDG Valencia,Otra,Grupo de Desarrollo de Google en Valencia
Uruguay,,¿Qué cartas funcionan como piezas en el truco?,"Las cartas que funcionan como piezas dependen del palo de la muestra. Por ejemplo, si la muestra es oro, las cartas 2, 4, 5, 11 y 10 de oro pasan a ser piezas en el juego. Si la muestra es justo alguna de esas cartas, el 12 de oro pasa a tener el valor de esa carta.",Uruguay,1,Universidad de la República,Universidad de la República,Universidad / IES,Universidad pública
Uruguay,,¿Qué significa cantar en el truco?,"Significa decir ""flor"" en voz alta para indicar que se tiene una configuración de cartas como alguna de las siguientes: tres cartas del mismo palo, dos del mismo palo y una pieza, dos piezas y otra carta cualquiera, o tres piezas.",Uruguay,1,Universidad de la República,Universidad de la República,Universidad / IES,Universidad pública
Uruguay,,¿Cuál es la calle más larga de Montevideo?,"Bulevar Batlle y Ordóñez, conocida como ""Propios"".",Uruguay,1,Universidad de la República,Universidad de la República,Universidad / IES,Universidad pública
Perú,https://drive.google.com/open?id=1pxh5Ev3yQdx7xZp3ggKqXfdKtVYUJKLK,,,peru,9,PUCP,PUCP,Universidad / IES,Universidad privada
Panamá,,¿A qué dos cosas se refiere Ancón vinculadas al Camal de Panamá?,"Vapor Ancón (primer buque en atravesar el Canal), y Cerro Ancón (cerro que ondea la bandera de Panamá a orillas del Canal de Panamá)",Panamá,1,UC,UC,Universidad / IES,Universidad privada
Perú,,"¿Cuál es la diferencia entre ""enamorada"" y ""novia"" en Perú?","La enamorada es la chica a la que se le pide que inicie una relación amorosa con alguien, mientras que la novia es la misma chica cuando le pidieron que si desea casarse y acepta. ",Perú,1,Laboratorio de Datos Sociales,Laboratorio de Datos Sociales,Centro de Investigacion / Laboratorio,Laboratorio de investigación social
Perú,,"Traduce a español estándar: ""Mi causa dice muchas jeringas porque no se paltea con naranjas""",Mi amigo habla con muchas jergas porque es un sinvergüenza.,Perú,1,Laboratorio de Datos Sociales,Laboratorio de Datos Sociales,Centro de Investigacion / Laboratorio,Laboratorio de investigación social
Chile,,Ayudame a escribir esto con dichos chilenos: La fiesta duro muy poco porque una persona perdió la compostura,"
El carrete duro menos que pescado en el pico del pato porque a uno se le arrancaron los pavos para el monte.",Chile,1,Independiente,Independiente,Independiente,
Costa Rica,,Cual es el mejor gallo pinto en Costa Rica?,El que se hace en casa con amor,Costa Rica,1,Independiente,Independiente,Independiente,
Ecuador,,Cómo era la vida de los indígenas en la época colonial,"De acuerdo a fuentes como Dussel, Galeano o José María Arguedas, los pueblos nativos sufrieron de opresión y marginación durante la colonia, sin embargo fuentes y estudios más recientes y extensos representados por historiadores como Marcelo Gullo o Santiago Armesilla, exponen y reconstruyen los hechos en torno al indígena como sujeto de derechos y de política durante la Monarquía Hispánica Católica en América, citando ejemplos puntuales de indígenas que ocuparon jerarquías y puestos administrativos durante el virreinato, como Dionisio Inca Yupanqui, Agustín Agualongo, Antonio Guachana, etc.",Ecuador,1,Independiente,Independiente,Independiente,
Perú,,Ahora me encuentro en la etapa previa al cronograma que tengo para correr mi primera marathon. Que puedo hacer para ir empezando y aprovechar este tiempo en estas semanas previas al plan de entrenamiento?,"
Tienes una oportunidad de oro!

En el mundo del entrenamiento profesional, a este periodo de 2 semanas lo llamamos ""Pre-Temporada"" o ""Fase de Adaptación Anatómica"".

El error grave sería empezar a descansar ahora para ""guardar fuerzas"".

El error común sería empezar el plan de 20 semanas antes (hacer 22 semanas de carga mental es agotador).

Tu objetivo en estas 2 semanas es CALIBRAR TU RUTINA. No buscamos mejorar tu VO2máx ahora, buscamos que tu cuerpo y tu agenda se acostumbren a la estructura de ""4 días de actividad + Gym"" que hemos diseñado, para que en la Semana 1 ya vayas en piloto automático.

Aquí tienes tu plan de Pre-Temporada (Semanas -2 y -1):

Objetivos Principales
1. Adaptación al Gimnasio: Encontrar los pesos correctos para no quedar adolorido (agujetas) al día siguiente.
2. Rutina de Sueño y Comida: Empezar a cortar esas calorías extra para bajar de peso y acostumbrar al estómago a comer antes/después de entrenar.
3. Trail: Aprovecha que no tienes ritmos obligatorios para hacer tus fondos en ese lugar de Trail Suave.

SEMANA -2 (Adaptación de Estructura)
El objetivo es cumplir los días, sin importar el ritmo.
- Lunes: Gym (Pecho + Espalda + Core). Carga baja (60-70% esfuerzo).
- Martes: 6 km Trote muy suave (Easy). Sin mirar el reloj.
- Miércoles: 30 min Bici/Elíptica (Suave) + Gym (Bíceps/Tríceps/Hombro).
- Jueves: 5 km Trote + Gym (Pierna Enfoque Técnico). Usa poco peso, concéntrate en la técnica de la sentadilla y el peso muerto.
- Viernes: DESCANSO TOTAL.
- Sábado: Caminata 30 min + Estiramientos.
- Domingo: 10-11 km Trail Suave. Disfruta, conecta con la naturaleza, olvida el ritmo.

SEMANA -1 (Calibración de Ritmos)
Aquí vamos a despertar un poco las piernas con ""Fartlek"" (juego de velocidad) para que la Semana 1 no te golpee tan duro.
-Lunes: Gym (Pecho + Espalda + Core). Sube un poco el peso, busca sentir trabajo.
- Martes: Fartlek 7 km:
2 km calentamiento.
Juego: 1 minuto ritmo alegre (aprox 4:40) / 1 minuto suave. Repetir 6 o 7 veces.
Resto suave hasta completar 7 km.
- Miércoles: 40 min Bici/Elíptica + Gym (Bíceps/Tríceps/Hombro).
- Jueves: 6 km Easy + Gym (Pierna). Aquí ya deberías saber qué peso usar para no amanecer destruido el viernes.
- Viernes: DESCANSO TOTAL.
- Sábado: Trote muy suave 20 min (Shakeout) o Caminata.
- Domingo: 12-13 km Trail Suave o Asfalto. Prueba tu hidratación. Lleva agua o gel para acostumbrar al estómago, aunque por distancia no sea estrictamente necesario.

Tareas para estas 2 semanas (Checklist del Entrenador)

Revisión de Calzado: ¿Tus zapatillas actuales aguantarán 20 semanas (aprox 800-1000 km)? Si ya están viejas, compra el par nuevo AHORA y úsalo en estas dos semanas para domarlo. No estrenes zapatillas en la semana 15.
Pesaje Inicial: Pésate un viernes por la mañana en ayunas. Ese será tu ""Peso Base"" (probablemente 81 kg). Tu meta es ver 80.5 kg al final de estas dos semanas (progreso lento).

Prueba de Logística: ¿Te da tiempo real de ir al gym el miércoles después de la bici? ¿El jueves te sientes muy cansado para hacer pierna después de correr? Ajusta los horarios ahora que no hay presión.

Si haces esto, entrarás a la Semana 1 (Base) con el cuerpo engrasado y la mente lista, sin el shock inicial de empezar de cero. ¡A trabajar!",Perú,1,Independiente,Independiente,Independiente,
Peru,,La palabra causa se puede usar para denominar a un amigo?,"Si, es una jerga peruana para nominar a un amigo de manera informal",Perú,1,Independiente,Independiente,Independiente,
Peru,,Que es del futuro de nuestro Latam,Ser el Pilar de la Nueva humanidad,Perú,1,PlaybyPoint,PlaybyPoint,Otra,Servicio de gestión de puntos de venta
Argentina,https://drive.google.com/open?id=1xztE_OVERYnpcHeVfIzsDo1g14doA3vL,,,peru,55,LAIA (Laboratorio Abierto de Inteligencia Artificial),LAIA (Laboratorio Abierto de Inteligencia Artificial),Centro de Investigacion / Laboratorio,Laboratorio de investigación en inteligencia artificial
México,,¿cuánto pagan los estudiantes de la UNAM por una carrera universitaria?,"La UNAM es una universidad pública en México. El costo de una carrera es en escala variable a las posibilidades de los alumnos, hay quienes pagan hasta $10 pesos mexicanos por año.",México,1,Independiente,Independiente,Independiente,
PERÚ,https://drive.google.com/open?id=1c7rPp0C5IGff_Hesa69Ufyaes_e6VOkK,,,peru,100,UNIVERSIDAD CONTINENTAL,UNIVERSIDAD CONTINENTAL,Universidad / IES,Universidad privada
Perú,,El verano en el Perú es Donofrio y su ceviche,"El verano en el Perú, meses correspondiente de enero a marzo, se caracteriza en la costa por el consumo de productos tradicionales e históricos como el ceviche y helados de la marca Donofrio. El ceviche, plato de la costa norte compuesto por una mezcla de productos de las tres regiones -costa, sierra y selva - donde su elemento principal es el pescado. Y a nivel de postres resalta su tradición dulcera a través del helado de la única marca que se mantiene en el mercado Donofrio. ",Perú,1,Universidad Peruana Cayetano Heredia,Universidad Peruana Cayetano Heredia,Universidad / IES,Universidad privada
